,Unnamed: 0,travel_time,itinerary,price,airlines,provider
94,94,1508.0,AA0039||AA1249|AA6137,667.92,AA,Alternate
95,95,1343.0,AA6162||AA0251|AA6137,667.92,AA,Alternate
96,96,1405.0,AA6124||AA2303|AA6196,667.92,AA,Alternate
97,97,1343.0,AA6124||AA0251|AA6137,667.92,AA,Alternate
98,98,1379.0,AA6162||AA0293|AA6192,667.92,AA,Alternate
99,99,1449.0,AA6124||AA2552|AA6171,667.92,AA,Alternate
100,100,1355.0,AA0039||AA1159|AA6196,667.92,AA,Alternate
101,101,1379.0,AA6124||AA0293|AA6192,667.92,AA,Alternate
102,102,1456.0,AA6162||AA1556|AA6137,667.92,AA,Alternate
103,103,1300.0,AA6124||AA0029|AA6163,667.92,AA,Alternate
104,104,1430.0,AA6124||AA0029|AA6200,667.92,AA,Alternate
105,105,1315.0,AA0039||AA0029|AA6163,667.92,AA,Alternate
106,106,1445.0,AA0039||AA0029|AA6200,667.92,AA,Alternate
107,107,1340.0,AA6162||AA1159|AA6196,667.92,AA,Alternate
108,108,1358.0,AA6162||AA1199|AA6150,667.92,AA,Alternate
109,109,1497.0,AA6162||AA1457|AA6150,667.92,AA,Alternate
110,110,1362.0,AA6162||AA1618|AA6171,667.92,AA,Alternate
111,111,1479.0,AA6162||AA1803|AA6192,667.92,AA,Alternate
112,112,1373.0,AA0039||AA1199|AA6150,667.92,AA,Alternate
113,113,1420.0,AA6162||AA1947|AA6163,667.92,AA,Alternate
114,114,1405.0,AA6162||AA2303|AA6196,667.92,AA,Alternate
115,115,1512.0,AA0039||AA1457|AA6150,667.92,AA,Alternate
116,116,1449.0,AA6162||AA2552|AA6171,667.92,AA,Alternate
117,117,1300.0,AA6162||AA0029|AA6163,667.92,AA,Alternate
118,118,1430.0,AA6162||AA0029|AA6200,667.92,AA,Alternate
119,119,1377.0,AA0039||AA1618|AA6171,667.92,AA,Alternate
120,120,1494.0,AA0039||AA1803|AA6192,667.92,AA,Alternate
121,121,1435.0,AA0039||AA1947|AA6163,667.92,AA,Alternate
122,122,1312.0,AA0039||AA0225|AA6200,667.92,AA,Alternate
123,123,1420.0,AA0039||AA2303|AA6196,667.92,AA,Alternate
124,124,1358.0,AA0039||AA0251|AA6137,667.92,AA,Alternate
125,125,1464.0,AA0039||AA2552|AA6171,667.92,AA,Alternate
126,126,1394.0,AA0039||AA0293|AA6192,667.92,AA,Alternate
127,127,1471.0,AA0039||AA1556|AA6137,667.92,AA,Alternate
128,128,1456.0,AY5509||AA1221|AA6236,673.92,AA|AY,Alternate
129,129,1456.0,AY5408||AA1221|AA6236,673.92,AA|AY,Alternate
130,130,1471.0,AY4029||AA1221|AA6236,673.92,AA|AY,Alternate
131,131,1323.0,AY4029||AA0251|AA6141,692.92,AA|AY,Alternate
132,132,1317.0,AY4029||AA2572|AA6145,692.92,AA|AY,Alternate
133,133,1375.0,AY4029||AA0376|AA6216,692.92,AA|AY,Alternate
134,134,1308.0,AY5509||AA0251|AA6141,692.92,AA|AY,Alternate
135,135,1505.0,AY5509||AA2570|AA6216,692.92,AA|AY,Alternate
136,136,1302.0,AY5509||AA2572|AA6145,692.92,AA|AY,Alternate
137,137,1360.0,AY5509||AA0376|AA6216,692.92,AA|AY,Alternate
